template,prompt,target,llama_result,llama_answer
P364,X-Faktor was originally performed in the following language:,Hungarian,Italian,"X-Faktor was originally performed in the following language: Italian
"
P364,Little Soldiers was originally performed in the following language:,Telugu,French,"Little Soldiers was originally performed in the following language: French
"
P364,The Young Victoria was originally performed in the following language:,English,French,"The Young Victoria was originally performed in the following language: French
"
P364,La Fontaine's Fables was originally performed in the following language:,French,Portuguese,"La Fontaine's Fables was originally performed in the following language: Portuguese
"
P364,The Harvest Month was originally performed in the following language:,Finnish,German,"The Harvest Month was originally performed in the following language: German
"
P364,Der kleine Vampir was originally performed in the following language:,German,Italian,"Der kleine Vampir was originally performed in the following language: Italian
"
P364,A Frozen Flower was originally performed in the following language:,Korean,Italian,"A Frozen Flower was originally performed in the following language: Italian
"
P364,The Fatal Eggs was originally performed in the following language:,Russian,Spanish,"The Fatal Eggs was originally performed in the following language: Spanish
"
P364,Hindustan Ki Kasam was originally performed in the following language:,Hindi,Spanish,"Hindustan Ki Kasam was originally performed in the following language: Spanish
"
P364,Play It Again was originally performed in the following language:,English,French,"Play It Again was originally performed in the following language: French
"
P364,Nanneri was originally performed in the following language:,Tamil,English,"Nanneri was originally performed in the following language: English
"
P364,Two English Girls was originally performed in the following language:,English,English,"Two English Girls was originally performed in the following language: English
"
P364,Mithya was originally performed in the following language:,Hindi,English,"Mithya was originally performed in the following language: English
"
P364,The Marriage of Figaro was originally performed in the following language:,French,English,"The Marriage of Figaro was originally performed in the following language: English
"
P364,The Irish Times was originally performed in the following language:,English,English,"The Irish Times was originally performed in the following language: English
"
P364,The Names of Love was originally performed in the following language:,French,English,"The Names of Love was originally performed in the following language: English
"
P364,Brava Gente was originally performed in the following language:,Portuguese,English,"Brava Gente was originally performed in the following language: English
"
P364,The Purple Taxi was originally performed in the following language:,French,English,"The Purple Taxi was originally performed in the following language: English
"
P364,Infinite Challenge was originally performed in the following language:,Korean,English,"Infinite Challenge was originally performed in the following language: English
"
P364,I Need Romance was originally performed in the following language:,Korean,English,"I Need Romance was originally performed in the following language: English
"
P364,Wild Birds was originally performed in the following language:,Swedish,English,"Wild Birds was originally performed in the following language: English
"
P364,Thillu Mullu was originally performed in the following language:,Tamil,English,"Thillu Mullu was originally performed in the following language: English
"
P364,Rasigan was originally performed in the following language:,Tamil,English,"Rasigan was originally performed in the following language: English
"
P364,Vathiyar was originally performed in the following language:,Tamil,English,"Vathiyar was originally performed in the following language: English
"
P364,Attarintiki Daredi was originally performed in the following language:,Telugu,English,"Attarintiki Daredi was originally performed in the following language: English
"
P364,Love Actually was originally performed in the following language:,English,English,"Love Actually was originally performed in the following language: English
"
P364,Seducing Doctor Lewis was originally performed in the following language:,French,English,"Seducing Doctor Lewis was originally performed in the following language: English
"
P364,That Girl was originally performed in the following language:,English,English,"That Girl was originally performed in the following language: English
"
P364,My Bloody Valentine 3D was originally performed in the following language:,English,English,"My Bloody Valentine 3D was originally performed in the following language: English
"
P364,Hallmark Hall of Fame was originally performed in the following language:,English,English,"Hallmark Hall of Fame was originally performed in the following language: English
"
P364,Manmadha Leelai was originally performed in the following language:,Tamil,English,"Manmadha Leelai was originally performed in the following language: English
"
P364,Adventure Time was originally performed in the following language:,English,English,"Adventure Time was originally performed in the following language: English
"
P364,The Miser was originally performed in the following language:,French,English,"The Miser was originally performed in the following language: English
"
P364,Punnagai Desam was originally performed in the following language:,Tamil,English,"Punnagai Desam was originally performed in the following language: English
"
P364,Desadanam was originally performed in the following language:,Malayalam,English,"Desadanam was originally performed in the following language: English
"
P364,La colombe was originally performed in the following language:,French,English,"La colombe was originally performed in the following language: English
"
P364,Quelli dell'intervallo was originally performed in the following language:,Italian,English,"Quelli dell'intervallo was originally performed in the following language: English
"
P364,Kaminey was originally performed in the following language:,Hindi,English,"Kaminey was originally performed in the following language: English
"
P364,The Golden Ass was originally performed in the following language:,Latin,English,"The Golden Ass was originally performed in the following language: English
"
P364,Tusculanae Disputationes was originally performed in the following language:,Latin,English,"Tusculanae Disputationes was originally performed in the following language: English
"
P364,Football Weekly was originally performed in the following language:,English,English,"Football Weekly was originally performed in the following language: English
"
P364,I Love Lucy was originally performed in the following language:,English,English,"I Love Lucy was originally performed in the following language: English
"
P364,Dom Juan was originally performed in the following language:,French,French,"Dom Juan was originally performed in the following language: French
"
P364,Redfern Now was originally performed in the following language:,English,French,"Redfern Now was originally performed in the following language: French
"
P364,Nirdoshi was originally performed in the following language:,Telugu,French,"Nirdoshi was originally performed in the following language: French
"
P364,Nirdoshi was originally performed in the following language:,Telugu,Czech,"Nirdoshi was originally performed in the following language: Czech
"
P364,Nirdoshi was originally performed in the following language:,Tamil,French,"Nirdoshi was originally performed in the following language: French
"
P364,Nirdoshi was originally performed in the following language:,Tamil,Czech,"Nirdoshi was originally performed in the following language: Czech
"
P364,Athalie was originally performed in the following language:,French,French,"Athalie was originally performed in the following language: French
"
P364,Galpa Holeo Satyi was originally performed in the following language:,Bengali,French,"Galpa Holeo Satyi was originally performed in the following language: French
"
P364,Three Men of the River was originally performed in the following language:,Spanish,French,"Three Men of the River was originally performed in the following language: French
"
P364,Plus belle la vie was originally performed in the following language:,French,French,"Plus belle la vie was originally performed in the following language: French
"
P364,Natural City was originally performed in the following language:,Korean,French,"Natural City was originally performed in the following language: French
"
P364,8 Women was originally performed in the following language:,French,French,"8 Women was originally performed in the following language: French
"
P364,Khaleja was originally performed in the following language:,Telugu,French,"Khaleja was originally performed in the following language: French
"
P364,The Divergent Series was originally performed in the following language:,English,French,"The Divergent Series was originally performed in the following language: French
"
P364,Cheers was originally performed in the following language:,English,English,"Cheers was originally performed in the following language: English
"
P364,Monster Buster Club was originally performed in the following language:,French,French,"Monster Buster Club was originally performed in the following language: French
"
P364,Heart was originally performed in the following language:,Italian,English,"Heart was originally performed in the following language: English
"
P364,Invisible Cities was originally performed in the following language:,Italian,French,"Invisible Cities was originally performed in the following language: French
"
P364,Antastulu was originally performed in the following language:,Telugu,French,"Antastulu was originally performed in the following language: French
"
P364,The National Lottery Draws was originally performed in the following language:,English,French,"The National Lottery Draws was originally performed in the following language: French
"
P364,Commentarii de Bello Gallico was originally performed in the following language:,Latin,French,"Commentarii de Bello Gallico was originally performed in the following language: French
"
P364,Dawn was originally performed in the following language:,English,French,"Dawn was originally performed in the following language: French
"
P364,I've Loved You So Long was originally performed in the following language:,French,French,"I've Loved You So Long was originally performed in the following language: French
"
P364,Invitation to the Castle was originally performed in the following language:,French,French,"Invitation to the Castle was originally performed in the following language: French
"
P364,The Round Up was originally performed in the following language:,French,French,"The Round Up was originally performed in the following language: French
"
P364,Barbarian Queen was originally performed in the following language:,Spanish,French,"Barbarian Queen was originally performed in the following language: French
"
P364,Orr Eravuu was originally performed in the following language:,Tamil,French,"Orr Eravuu was originally performed in the following language: French
"
P364,Engaeyum Eppothum was originally performed in the following language:,Tamil,French,"Engaeyum Eppothum was originally performed in the following language: French
"
P364,Sous le ciel de Paris was originally performed in the following language:,French,French,"Sous le ciel de Paris was originally performed in the following language: French
"
P364,Adaptation was originally performed in the following language:,English,French,"Adaptation was originally performed in the following language: French
"
P364,Githan was originally performed in the following language:,Tamil,French,"Githan was originally performed in the following language: French
"
P364,Ong-Bak: Muay Thai Warrior was originally performed in the following language:,Thai,French,"Ong-Bak: Muay Thai Warrior was originally performed in the following language: French
"
P364,Burnt by the Sun was originally performed in the following language:,Russian,French,"Burnt by the Sun was originally performed in the following language: French
"
P364,Nageswari was originally performed in the following language:,Tamil,French,"Nageswari was originally performed in the following language: French
"
P364,Night-Thoughts was originally performed in the following language:,English,French,"Night-Thoughts was originally performed in the following language: French
"
P364,La clemenza di Tito was originally performed in the following language:,Italian,Italian,"La clemenza di Tito was originally performed in the following language: Italian
"
P364,Toto the Hero was originally performed in the following language:,French,Italian,"Toto the Hero was originally performed in the following language: Italian
"
P364,Gai pied was originally performed in the following language:,French,Italian,"Gai pied was originally performed in the following language: Italian
"
P364,A Very Private Affair was originally performed in the following language:,French,Italian,"A Very Private Affair was originally performed in the following language: Italian
"
P364,Bryter Layter was originally performed in the following language:,English,Italian,"Bryter Layter was originally performed in the following language: Italian
"
P364,La Dispute was originally performed in the following language:,French,Italian,"La Dispute was originally performed in the following language: Italian
"
P364,Do Aankhen Barah Haath was originally performed in the following language:,Hindi,Italian,"Do Aankhen Barah Haath was originally performed in the following language: Italian
"
P364,Commediasexi was originally performed in the following language:,Italian,Italian,"Commediasexi was originally performed in the following language: Italian
"
P364,Hong Kong Cinemagic was originally performed in the following language:,English,Italian,"Hong Kong Cinemagic was originally performed in the following language: Italian
"
P364,Passer à l'acte was originally performed in the following language:,French,Italian,"Passer à l'acte was originally performed in the following language: Italian
"
P364,The Pianist was originally performed in the following language:,English,Italian,"The Pianist was originally performed in the following language: Italian
"
P364,Children of Paradise was originally performed in the following language:,French,Italian,"Children of Paradise was originally performed in the following language: Italian
"
P364,Shirli-Myrli was originally performed in the following language:,Russian,Italian,"Shirli-Myrli was originally performed in the following language: Italian
"
P364,The Book of the Courtier was originally performed in the following language:,Italian,Italian,"The Book of the Courtier was originally performed in the following language: Italian
"
P364,Funny Dirty Little War was originally performed in the following language:,Spanish,Italian,"Funny Dirty Little War was originally performed in the following language: Italian
"
P364,Bottle Rocket was originally performed in the following language:,Spanish,Italian,"Bottle Rocket was originally performed in the following language: Italian
"
P364,Kaviratna Kalidasa was originally performed in the following language:,Kannada,Italian,"Kaviratna Kalidasa was originally performed in the following language: Italian
"
P364,Beautiful Boxer was originally performed in the following language:,Thai,Italian,"Beautiful Boxer was originally performed in the following language: Italian
"
P364,Allegro Non Troppo was originally performed in the following language:,Italian,Italian,"Allegro Non Troppo was originally performed in the following language: Italian
"
P364,Water Drops on Burning Rocks was originally performed in the following language:,French,Italian,"Water Drops on Burning Rocks was originally performed in the following language: Italian
"
P364,Mango Yellow was originally performed in the following language:,Portuguese,Italian,"Mango Yellow was originally performed in the following language: Italian
"
P364,The French Woman was originally performed in the following language:,French,Italian,"The French Woman was originally performed in the following language: Italian
"
P364,El Mariachi was originally performed in the following language:,Spanish,Italian,"El Mariachi was originally performed in the following language: Italian
"
P364,Code Unknown was originally performed in the following language:,Romanian,Italian,"Code Unknown was originally performed in the following language: Italian
"
P364,The Time Machine was originally performed in the following language:,English,Italian,"The Time Machine was originally performed in the following language: Italian
"
P364,The Great Citizen was originally performed in the following language:,Russian,Italian,"The Great Citizen was originally performed in the following language: Italian
"
P364,Chirodini Tumi Je Amar was originally performed in the following language:,Bengali,Italian,"Chirodini Tumi Je Amar was originally performed in the following language: Italian
"
P364,The Jeffersons was originally performed in the following language:,English,Italian,"The Jeffersons was originally performed in the following language: Italian
"
P364,Around the World in 80 Days was originally performed in the following language:,English,Italian,"Around the World in 80 Days was originally performed in the following language: Italian
"
P364,Sesamstraat was originally performed in the following language:,Dutch,Italian,"Sesamstraat was originally performed in the following language: Italian
"
P364,Wild Reeds was originally performed in the following language:,French,Italian,"Wild Reeds was originally performed in the following language: Italian
"
P364,Abhilasha was originally performed in the following language:,Telugu,Italian,"Abhilasha was originally performed in the following language: Italian
"
P364,Hrvatska revija was originally performed in the following language:,Croatian,English,"Hrvatska revija was originally performed in the following language: English
"
P364,Bombay March 12 was originally performed in the following language:,Malayalam,French,"Bombay March 12 was originally performed in the following language: French
"
P364,The Voice Israel was originally performed in the following language:,Hebrew,English,"The Voice Israel was originally performed in the following language: English
"
P364,Lais of Marie de France was originally performed in the following language:,French,French,"Lais of Marie de France was originally performed in the following language: French
"
P364,The Second Sex was originally performed in the following language:,French,Czech,"The Second Sex was originally performed in the following language: Czech
"
P364,Thotta was originally performed in the following language:,Tamil,English,"Thotta was originally performed in the following language: English
"
P364,The Missionary was originally performed in the following language:,English,Czech,"The Missionary was originally performed in the following language: Czech
"
P364,In Cold Blood was originally performed in the following language:,English,Czech,"In Cold Blood was originally performed in the following language: Czech
"
P364,Zero Kelvin was originally performed in the following language:,Norwegian,Czech,"Zero Kelvin was originally performed in the following language: Czech
"
P364,Le Voyage en douce was originally performed in the following language:,French,German,"Le Voyage en douce was originally performed in the following language: German
"
P364,Disquisitiones Arithmeticae was originally performed in the following language:,Latin,German,"Disquisitiones Arithmeticae was originally performed in the following language: German
"
P364,Caresses was originally performed in the following language:,Catalan,English,"Caresses was originally performed in the following language: English
"
P364,The Young Guard was originally performed in the following language:,Russian,Czech,"The Young Guard was originally performed in the following language: Czech
"
P364,Little Games was originally performed in the following language:,English,English,"Little Games was originally performed in the following language: English
"
P364,Aparajita Tumi was originally performed in the following language:,Bengali,French,"Aparajita Tumi was originally performed in the following language: French
"
P364,Thaamirabharani was originally performed in the following language:,Tamil,German,"Thaamirabharani was originally performed in the following language: German
"
P364,Bhalo Theko was originally performed in the following language:,Bengali,English,"Bhalo Theko was originally performed in the following language: English
"
P364,Trollhunter was originally performed in the following language:,Norwegian,English,"Trollhunter was originally performed in the following language: English
"
P364,The News Quiz was originally performed in the following language:,English,English,"The News Quiz was originally performed in the following language: English
"
P364,Kumara Sambhavam was originally performed in the following language:,Malayalam,German,"Kumara Sambhavam was originally performed in the following language: German
"
P364,Canone Inverso was originally performed in the following language:,Italian,English,"Canone Inverso was originally performed in the following language: English
"
P364,Spanish Serenade was originally performed in the following language:,Spanish,English,"Spanish Serenade was originally performed in the following language: English
"
P364,Faithless was originally performed in the following language:,Swedish,Czech,"Faithless was originally performed in the following language: Czech
"
P364,Beyond Hatred was originally performed in the following language:,French,English,"Beyond Hatred was originally performed in the following language: English
"
P364,Brief Encounter was originally performed in the following language:,English,English,"Brief Encounter was originally performed in the following language: English
"
P364,The White Guard was originally performed in the following language:,Russian,Czech,"The White Guard was originally performed in the following language: Czech
"
P364,District 13 was originally performed in the following language:,French,English,"District 13 was originally performed in the following language: English
"
P364,"Run, Man, Run! was originally performed in the following language:",Italian,French,"Run, Man, Run! was originally performed in the following language: French
"
P364,Songs from the Second Floor was originally performed in the following language:,Swedish,French,"Songs from the Second Floor was originally performed in the following language: French
"
P364,Cosmic Voyage was originally performed in the following language:,English,English,"Cosmic Voyage was originally performed in the following language: English
"
P364,Definitely Maybe was originally performed in the following language:,English,Czech,"Definitely Maybe was originally performed in the following language: Czech
"
P364,Les Nanas was originally performed in the following language:,French,French,"Les Nanas was originally performed in the following language: French
"
P364,Fully Booked was originally performed in the following language:,English,French,"Fully Booked was originally performed in the following language: French
"
P364,Agantuk was originally performed in the following language:,Bengali,French,"Agantuk was originally performed in the following language: French
"
P364,Spiral was originally performed in the following language:,French,English,"Spiral was originally performed in the following language: English
"
P364,Don Francisco Presenta was originally performed in the following language:,Spanish,French,"Don Francisco Presenta was originally performed in the following language: French
"
P364,Antardwand was originally performed in the following language:,Hindi,French,"Antardwand was originally performed in the following language: French
"
P364,Vijesti was originally performed in the following language:,Montenegrin,French,"Vijesti was originally performed in the following language: French
"
P364,Velocifero was originally performed in the following language:,English,French,"Velocifero was originally performed in the following language: French
"
P364,Thunderbirds Are Go was originally performed in the following language:,English,French,"Thunderbirds Are Go was originally performed in the following language: French
"
P364,Hip Hop Is Dead was originally performed in the following language:,English,French,"Hip Hop Is Dead was originally performed in the following language: French
"
P364,The Return of Casanova was originally performed in the following language:,French,French,"The Return of Casanova was originally performed in the following language: French
"
P364,Anand Math was originally performed in the following language:,Hindi,French,"Anand Math was originally performed in the following language: French
"
P364,Ramachaari was originally performed in the following language:,Kannada,French,"Ramachaari was originally performed in the following language: French
"
P364,Komal Gandhar was originally performed in the following language:,Bengali,French,"Komal Gandhar was originally performed in the following language: French
"
P364,Adi Parva was originally performed in the following language:,Sanskrit,French,"Adi Parva was originally performed in the following language: French
"
P364,By the Light of a Star was originally performed in the following language:,Spanish,French,"By the Light of a Star was originally performed in the following language: French
"
P364,Oram Po was originally performed in the following language:,Tamil,French,"Oram Po was originally performed in the following language: French
"
P364,The Assault was originally performed in the following language:,French,French,"The Assault was originally performed in the following language: French
"
P364,Largo Winch II was originally performed in the following language:,French,French,"Largo Winch II was originally performed in the following language: French
"
P364,Captain Khorshid was originally performed in the following language:,Persian,French,"Captain Khorshid was originally performed in the following language: French
"
P364,Liquid Sky was originally performed in the following language:,English,French,"Liquid Sky was originally performed in the following language: French
"
P364,The Naked Sun was originally performed in the following language:,English,French,"The Naked Sun was originally performed in the following language: French
"
P364,Mahapurush was originally performed in the following language:,Bengali,French,"Mahapurush was originally performed in the following language: French
"
P364,36 China Town was originally performed in the following language:,Hindi,French,"36 China Town was originally performed in the following language: French
"
P364,Virginia Quarterly Review was originally performed in the following language:,English,French,"Virginia Quarterly Review was originally performed in the following language: French
"
P364,The Marchers was originally performed in the following language:,French,French,"The Marchers was originally performed in the following language: French
"
P364,Short Time was originally performed in the following language:,English,English,"Short Time was originally performed in the following language: English
"
P364,A Latin Dictionary was originally performed in the following language:,Latin,French,"A Latin Dictionary was originally performed in the following language: French
"
P364,William Tell was originally performed in the following language:,French,English,"William Tell was originally performed in the following language: English
"
P364,LiveJournal was originally performed in the following language:,English,French,"LiveJournal was originally performed in the following language: French
"
P364,Ciboulette was originally performed in the following language:,French,French,"Ciboulette was originally performed in the following language: French
"
P364,Happiness Is in the Field was originally performed in the following language:,French,French,"Happiness Is in the Field was originally performed in the following language: French
"
P364,Ye Meri Life Hai was originally performed in the following language:,Hindi,English,"Ye Meri Life Hai was originally performed in the following language: English
"
P364,Khottabych was originally performed in the following language:,Russian,English,"Khottabych was originally performed in the following language: English
"
P364,Thuppakki was originally performed in the following language:,Tamil,English,"Thuppakki was originally performed in the following language: English
"
P364,Under the Sun of Satan was originally performed in the following language:,French,English,"Under the Sun of Satan was originally performed in the following language: English
"
P364,Olsen Gang was originally performed in the following language:,Danish,English,"Olsen Gang was originally performed in the following language: English
"
P364,Thoranai was originally performed in the following language:,Tamil,English,"Thoranai was originally performed in the following language: English
"
P364,La Jornada was originally performed in the following language:,Spanish,English,"La Jornada was originally performed in the following language: English
"
P364,Agahi was originally performed in the following language:,Urdu,English,"Agahi was originally performed in the following language: English
"
P364,Yemen Observer was originally performed in the following language:,English,English,"Yemen Observer was originally performed in the following language: English
"
P364,Minnale was originally performed in the following language:,Tamil,English,"Minnale was originally performed in the following language: English
"
P364,Paigham was originally performed in the following language:,Hindi,English,"Paigham was originally performed in the following language: English
"
P364,Sippai was originally performed in the following language:,Tamil,English,"Sippai was originally performed in the following language: English
"
P364,Il Posto was originally performed in the following language:,Italian,English,"Il Posto was originally performed in the following language: English
"
P364,Office Romance was originally performed in the following language:,Russian,English,"Office Romance was originally performed in the following language: English
"
P364,White Ladder was originally performed in the following language:,English,English,"White Ladder was originally performed in the following language: English
"
P364,Zaporozhets za Dunayem was originally performed in the following language:,Ukrainian,English,"Zaporozhets za Dunayem was originally performed in the following language: English
"
P364,Maria egiziaca was originally performed in the following language:,Italian,English,"Maria egiziaca was originally performed in the following language: English
"
P364,The Thieves was originally performed in the following language:,English,English,"The Thieves was originally performed in the following language: English
"
P364,Souryam was originally performed in the following language:,Telugu,English,"Souryam was originally performed in the following language: English
"
P364,La Haine was originally performed in the following language:,French,English,"La Haine was originally performed in the following language: English
"
P364,Chander Pahar was originally performed in the following language:,Bengali,English,"Chander Pahar was originally performed in the following language: English
"
P364,Khatarnak was originally performed in the following language:,Telugu,English,"Khatarnak was originally performed in the following language: English
"
P364,Las 13 rosas was originally performed in the following language:,Spanish,English,"Las 13 rosas was originally performed in the following language: English
"
P364,Return to Me was originally performed in the following language:,English,English,"Return to Me was originally performed in the following language: English
"
P364,Brave New World was originally performed in the following language:,English,English,"Brave New World was originally performed in the following language: English
"
P364,Demon Seed was originally performed in the following language:,English,English,"Demon Seed was originally performed in the following language: English
"
P364,The Day I Became a Woman was originally performed in the following language:,Persian,English,"The Day I Became a Woman was originally performed in the following language: English
"
P364,Lurkmore.to was originally performed in the following language:,Russian,English,"Lurkmore.to was originally performed in the following language: English
"
P364,The Umbrella Coup was originally performed in the following language:,French,English,"The Umbrella Coup was originally performed in the following language: English
"
P364,Thenavattu was originally performed in the following language:,Tamil,English,"Thenavattu was originally performed in the following language: English
"
P364,Ginevra di Scozia was originally performed in the following language:,Italian,English,"Ginevra di Scozia was originally performed in the following language: English
"
P364,La Chica de Ayer was originally performed in the following language:,Spanish,English,"La Chica de Ayer was originally performed in the following language: English
"
P364,La Chienne was originally performed in the following language:,French,French,"La Chienne was originally performed in the following language: French
"
P364,36 Vayadhinile was originally performed in the following language:,Tamil,French,"36 Vayadhinile was originally performed in the following language: French
"
P364,The White Stone was originally performed in the following language:,Swedish,French,"The White Stone was originally performed in the following language: French
"
P364,Mississippi Masala was originally performed in the following language:,English,French,"Mississippi Masala was originally performed in the following language: French
"
P364,Calamari Union was originally performed in the following language:,Finnish,French,"Calamari Union was originally performed in the following language: French
"
P364,Risale-i Nur was originally performed in the following language:,Turkish,French,"Risale-i Nur was originally performed in the following language: French
"
P364,Fire in the Steppe was originally performed in the following language:,Polish,French,"Fire in the Steppe was originally performed in the following language: French
"
P364,This Is England was originally performed in the following language:,English,French,"This Is England was originally performed in the following language: French
"
P364,Madame Figaro was originally performed in the following language:,French,French,"Madame Figaro was originally performed in the following language: French
"
P364,Ramavataram was originally performed in the following language:,Tamil,French,"Ramavataram was originally performed in the following language: French
"
P364,The Count of Monte Cristo was originally performed in the following language:,French,French,"The Count of Monte Cristo was originally performed in the following language: French
"
P364,Brice de Nice was originally performed in the following language:,French,French,"Brice de Nice was originally performed in the following language: French
"
P364,Aranyer Din Ratri was originally performed in the following language:,Bengali,French,"Aranyer Din Ratri was originally performed in the following language: French
"
P364,"Well, Just You Wait! was originally performed in the following language:",Russian,French,"Well, Just You Wait! was originally performed in the following language: French
"
P364,Paradise Ranch was originally performed in the following language:,Korean,French,"Paradise Ranch was originally performed in the following language: French
"
P364,A Short Film About Killing was originally performed in the following language:,Polish,French,"A Short Film About Killing was originally performed in the following language: French
"
P364,The Shooting Star was originally performed in the following language:,French,French,"The Shooting Star was originally performed in the following language: French
"
P364,Neel Akasher Neechey was originally performed in the following language:,Bengali,French,"Neel Akasher Neechey was originally performed in the following language: French
"
P364,Ungli was originally performed in the following language:,Hindi,French,"Ungli was originally performed in the following language: French
"
P364,Yamudiki Mogudu was originally performed in the following language:,Telugu,French,"Yamudiki Mogudu was originally performed in the following language: French
"
P364,Vipra Narayana was originally performed in the following language:,Tamil,French,"Vipra Narayana was originally performed in the following language: French
"
P364,Kanoon was originally performed in the following language:,Hindi,French,"Kanoon was originally performed in the following language: French
"
P364,Anarchist Studies was originally performed in the following language:,English,French,"Anarchist Studies was originally performed in the following language: French
"
P364,Inspector Gadget was originally performed in the following language:,French,French,"Inspector Gadget was originally performed in the following language: French
"
P364,April Captains was originally performed in the following language:,Portuguese,French,"April Captains was originally performed in the following language: French
"
P364,Aalwar was originally performed in the following language:,Tamil,French,"Aalwar was originally performed in the following language: French
"
P364,Times Higher Education was originally performed in the following language:,English,French,"Times Higher Education was originally performed in the following language: French
"
P364,The Real Housewives of Beverly Hills was originally performed in the following language:,English,French,"The Real Housewives of Beverly Hills was originally performed in the following language: French
"
P364,Turner & Hooch was originally performed in the following language:,English,French,"Turner & Hooch was originally performed in the following language: French
"
P364,Sorga Ka Toedjoe was originally performed in the following language:,Indonesian,French,"Sorga Ka Toedjoe was originally performed in the following language: French
"
P364,Crossing Jordan was originally performed in the following language:,English,French,"Crossing Jordan was originally performed in the following language: French
"
P364,Slumdog Millionaire was originally performed in the following language:,English,French,"Slumdog Millionaire was originally performed in the following language: French
"
P364,An Englishman Abroad was originally performed in the following language:,English,English,"An Englishman Abroad was originally performed in the following language: English
"
P364,Uspekhi Fizicheskikh Nauk was originally performed in the following language:,Russian,English,"Uspekhi Fizicheskikh Nauk was originally performed in the following language: English
"
P364,Usha Parinayam was originally performed in the following language:,Telugu,English,"Usha Parinayam was originally performed in the following language: English
"
P364,Kadhalil Sodhappuvadhu Yeppadi was originally performed in the following language:,Tamil,English,"Kadhalil Sodhappuvadhu Yeppadi was originally performed in the following language: English
"
P364,Boss Engira Bhaskaran was originally performed in the following language:,Tamil,English,"Boss Engira Bhaskaran was originally performed in the following language: English
"
P364,A Secret was originally performed in the following language:,French,English,"A Secret was originally performed in the following language: English
"
P364,Bye Bye Brasil was originally performed in the following language:,Portuguese,English,"Bye Bye Brasil was originally performed in the following language: English
"
P364,Ossessione was originally performed in the following language:,Italian,English,"Ossessione was originally performed in the following language: English
"
P364,Vjesnik was originally performed in the following language:,Croatian,English,"Vjesnik was originally performed in the following language: English
"
P364,Memoirs of Hadrian was originally performed in the following language:,French,English,"Memoirs of Hadrian was originally performed in the following language: English
"
P364,Rhoda was originally performed in the following language:,English,English,"Rhoda was originally performed in the following language: English
"
P364,The Vicomte of Bragelonne: Ten Years Later was originally performed in the following language:,French,English,"The Vicomte of Bragelonne: Ten Years Later was originally performed in the following language: English
"
P364,Polish Biographical Dictionary was originally performed in the following language:,Polish,English,"Polish Biographical Dictionary was originally performed in the following language: English
"
P364,Ukrayina maye talant was originally performed in the following language:,Ukrainian,English,"Ukrayina maye talant was originally performed in the following language: English
"
P364,Akademi Fantasi Indosiar was originally performed in the following language:,Indonesian,English,"Akademi Fantasi Indosiar was originally performed in the following language: English
"
P364,Komban was originally performed in the following language:,Tamil,English,"Komban was originally performed in the following language: English
"
P364,Under the North Star was originally performed in the following language:,Finnish,English,"Under the North Star was originally performed in the following language: English
"
P364,Le Devoir was originally performed in the following language:,French,English,"Le Devoir was originally performed in the following language: English
"
P364,Bojhena Shey Bojhena was originally performed in the following language:,Bengali,English,"Bojhena Shey Bojhena was originally performed in the following language: English
"
P364,The Magic Flute was originally performed in the following language:,Swedish,English,"The Magic Flute was originally performed in the following language: English
"
P364,The Magic Flute was originally performed in the following language:,Swedish,English,"The Magic Flute was originally performed in the following language: English
"
P364,The Magic Flute was originally performed in the following language:,German,English,"The Magic Flute was originally performed in the following language: English
"
P364,The Magic Flute was originally performed in the following language:,German,English,"The Magic Flute was originally performed in the following language: English
"
P364,Delusions of Grandeur was originally performed in the following language:,French,English,"Delusions of Grandeur was originally performed in the following language: English
"
P364,Young Foolish Happy was originally performed in the following language:,English,English,"Young Foolish Happy was originally performed in the following language: English
"
P364,Server Sundaram was originally performed in the following language:,Tamil,English,"Server Sundaram was originally performed in the following language: English
"
P364,Kanooru Heggadithi was originally performed in the following language:,Kannada,English,"Kanooru Heggadithi was originally performed in the following language: English
"
P364,Amrithadhare was originally performed in the following language:,Kannada,English,"Amrithadhare was originally performed in the following language: English
"
P364,Michael Madana Kama Rajan was originally performed in the following language:,Tamil,English,"Michael Madana Kama Rajan was originally performed in the following language: English
"
P364,Flashdance was originally performed in the following language:,English,English,"Flashdance was originally performed in the following language: English
"
P364,The Suspended Vocation was originally performed in the following language:,French,English,"The Suspended Vocation was originally performed in the following language: English
"
P364,Khokababu was originally performed in the following language:,Bengali,English,"Khokababu was originally performed in the following language: English
"
P364,Khokababu was originally performed in the following language:,Bengali,English,"Khokababu was originally performed in the following language: English
"
P364,Khokababu was originally performed in the following language:,Hindi,English,"Khokababu was originally performed in the following language: English
"
P364,Khokababu was originally performed in the following language:,Hindi,English,"Khokababu was originally performed in the following language: English
"
P364,Nine Months was originally performed in the following language:,English,English,"Nine Months was originally performed in the following language: English
"
